District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Montgomery,Strawberry Knoll Elementary,English Language Arts 3,65.4,48.8,46.3,-16.6,-2.5
Montgomery,Strawberry Knoll Elementary,Mathematics 3,51.9,43.8,46.6,-8.1,2.8
Montgomery,Strawberry Knoll Elementary,English Language Arts 4,48.7,53.8,52.9,5.1,-0.9
Baltimore County,Sudbrook Magnet Middle,Mathematics 6,9.2,8.1,13.8,-1.1,5.7
Baltimore County,Sudbrook Magnet Middle,Geometry,16.7,15.2,20,-1.5,4.8
Baltimore County,Sudbrook Magnet Middle,Algebra 1,13.3,31.2,32.7,17.9,1.5
Baltimore County,Sudbrook Magnet Middle,English Language Arts 8,44.7,40.7,41.6,-4,0.9
Baltimore County,Sudbrook Magnet Middle,English Language Arts 6,37.6,42.8,43.8,5.2,1
Baltimore County,Sudbrook Magnet Middle,English Language Arts 7,38.6,40.4,50.6,1.8,10.2
Baltimore County,Sudbrook Magnet Middle,Mathematics 7,5,5,5,,
Baltimore County,Sudbrook Magnet Middle,Mathematics 8,5,5,5,,
Queen Anne's,Sudlersville Elementary School,English Language Arts 3,35.5,38.2,27.7,2.7,-10.5
Queen Anne's,Sudlersville Elementary School,Mathematics 4,26,29.8,30.9,3.8,1.1
Queen Anne's,Sudlersville Elementary School,Mathematics 3,27.4,32.7,31.9,5.3,-0.8
Queen Anne's,Sudlersville Elementary School,English Language Arts 4,51,49.1,47.2,-1.9,-1.9
Queen Anne's,Sudlersville Middle School,Mathematics 6,17.2,16.3,17,-0.9,0.7
Queen Anne's,Sudlersville Middle School,Mathematics 7,13.8,20.7,19.2,6.9,-1.5
Queen Anne's,Sudlersville Middle School,Mathematics 5,25.3,26.3,24.1,1,-2.2
Queen Anne's,Sudlersville Middle School,English Language Arts 5,37.1,34.7,40.7,-2.4,6
Queen Anne's,Sudlersville Middle School,English Language Arts 8,51.3,61.9,45.9,10.6,-16
Queen Anne's,Sudlersville Middle School,English Language Arts 6,48.8,51.9,49.1,3.1,-2.8
Queen Anne's,Sudlersville Middle School,Algebra 1,10,50,51.6,40,1.6
Queen Anne's,Sudlersville Middle School,English Language Arts 7,56.1,57.6,52.9,1.5,-4.7
Queen Anne's,Sudlersville Middle School,Mathematics 8,9.3,5,5,,
Frederick,Sugarloaf Elementary,Mathematics 5,60.2,73.5,62.3,13.3,-11.2
Frederick,Sugarloaf Elementary,Mathematics 3,71.5,72.4,63.9,0.9,-8.5
Frederick,Sugarloaf Elementary,English Language Arts 3,76,75.9,69.9,-0.1,-6
Frederick,Sugarloaf Elementary,Mathematics 4,66.4,74.8,79.7,8.4,4.9
Frederick,Sugarloaf Elementary,English Language Arts 5,66.4,82.4,82.8,16,0.4
Frederick,Sugarloaf Elementary,English Language Arts 4,80.5,84.6,83.1,4.1,-1.5
Prince George's,Suitland Elementary,Mathematics 4,5,8.5,6.3,,-2.2
Prince George's,Suitland Elementary,Mathematics 3,5,18.7,11.9,,-6.8
Prince George's,Suitland Elementary,English Language Arts 4,16.9,21.1,21.8,4.2,0.7
Prince George's,Suitland Elementary,English Language Arts 3,35.2,40,23.7,4.8,-16.3
Prince George's,Suitland Elementary,English Language Arts 5,14.5,23.6,31.9,9.1,8.3
Prince George's,Suitland Elementary,Mathematics 5,5,5,5,,
Prince George's,Suitland Elementary,English Language Arts 6,48.3,59.7,,,
Prince George's,Suitland Elementary,Mathematics 6,6.7,5,,,
Prince George's,Suitland High,English Language Arts 10,28.9,43,40.3,14.1,-2.7
Prince George's,Suitland High,Algebra 2,*,*,5,,
Prince George's,Suitland High,Geometry,*,*,5,,
Prince George's,Suitland High,Algebra 1,5,5,5,,
Montgomery,Summit Hall Elementary,Mathematics 5,10.9,13.8,10,2.9,-3.8
Montgomery,Summit Hall Elementary,English Language Arts 3,32.5,32.1,14,-0.4,-18.1
Montgomery,Summit Hall Elementary,English Language Arts 5,13.1,17.4,17.2,4.3,-0.2
Montgomery,Summit Hall Elementary,Mathematics 3,24.1,34.5,17.3,10.4,-17.2
Montgomery,Summit Hall Elementary,English Language Arts 4,22.1,28.6,19.2,6.5,-9.4
Montgomery,Summit Hall Elementary,Mathematics 4,9.3,20,24.6,10.7,4.6
Baltimore County,Summit Park Elementary,Mathematics 5,52.1,44.9,44.4,-7.2,-0.5
Baltimore County,Summit Park Elementary,Mathematics 4,26.7,42.4,55.6,15.7,13.2
Baltimore County,Summit Park Elementary,English Language Arts 4,61,62.7,56.6,1.7,-6.1
Baltimore County,Summit Park Elementary,English Language Arts 5,83.3,56.3,57.4,-27,1.1
Baltimore County,Summit Park Elementary,Mathematics 3,46.2,59.3,61.5,13.1,2.2
Baltimore County,Summit Park Elementary,English Language Arts 3,67.7,64.8,68.4,-2.9,3.6
Calvert,Sunderland Elementary,Mathematics 5,35.5,35.6,53.9,0.1,18.3
Calvert,Sunderland Elementary,Mathematics 4,42.3,70.1,54.1,27.8,-16
Calvert,Sunderland Elementary,English Language Arts 5,41.1,51.5,65.2,10.4,13.7
Calvert,Sunderland Elementary,Mathematics 3,65.3,72.6,68.3,7.3,-4.3
Calvert,Sunderland Elementary,English Language Arts 3,72.6,75.2,68.3,2.6,-6.9
Calvert,Sunderland Elementary,English Language Arts 4,54.8,77.6,76.6,22.8,-1
Anne Arundel,Sunset Elementary,Mathematics 5,23.1,25,23.1,1.9,-1.9
Anne Arundel,Sunset Elementary,English Language Arts 5,69.2,58.3,30.8,-10.9,-27.5
Anne Arundel,Sunset Elementary,Mathematics 4,27.8,21.3,32.9,-6.5,11.6
Anne Arundel,Sunset Elementary,Mathematics 3,34.7,35.7,33.3,1,-2.4
Anne Arundel,Sunset Elementary,English Language Arts 3,51.4,60,38.3,8.6,-21.7
Anne Arundel,Sunset Elementary,English Language Arts 4,53.7,50.6,60,-3.1,9.4
Prince George's,Surrattsville High,English Language Arts 10,42.5,42,31.4,-0.5,-10.6
Prince George's,Surrattsville High,Geometry,*,*,5,,
Prince George's,Surrattsville High,Algebra 1,5,5,5,,
Prince George's,Surrattsville High,Algebra 2,,*,,,
Baltimore County,Sussex Elementary,Mathematics 5,13.6,5,5.6,,
Baltimore County,Sussex Elementary,Mathematics 4,9,7.1,6.5,-1.9,-0.6
Baltimore County,Sussex Elementary,Mathematics 3,13.4,5,18.6,,
Baltimore County,Sussex Elementary,English Language Arts 4,9.1,27.1,19,18,-8.1
Baltimore County,Sussex Elementary,English Language Arts 5,10.2,9.5,20,-0.7,10.5
Baltimore County,Sussex Elementary,English Language Arts 3,31.8,16.9,26.9,-14.9,10
Harford,Swan Creek School,Mathematics 7,6.7,5,6.7,,
Harford,Swan Creek School,Geometry,6.5,5,6.9,,
Harford,Swan Creek School,Mathematics 4,6.1,17.6,18.2,11.5,0.6
Harford,Swan Creek School,Mathematics 5,10.9,10,27.8,-0.9,17.8
Harford,Swan Creek School,English Language Arts 6,39.6,30,34.3,-9.6,4.3
Harford,Swan Creek School,English Language Arts 7,30.6,34.4,37.5,3.8,3.1
Harford,Swan Creek School,English Language Arts 4,44.9,76.5,40.9,31.6,-35.6
Harford,Swan Creek School,English Language Arts 8,39.6,29.4,43.6,-10.2,14.2
Harford,Swan Creek School,English Language Arts 10,37.1,33.3,48.5,-3.8,15.2
Harford,Swan Creek School,English Language Arts 3,44.9,55,54.5,10.1,-0.5
Harford,Swan Creek School,English Language Arts 5,28.3,40,55.6,11.7,15.6
Harford,Swan Creek School,Mathematics 3,18.4,10,80,-8.4,70
Harford,Swan Creek School,Algebra 2,5,*,*,,
Harford,Swan Creek School,Algebra 1,5,5.8,5,,
Harford,Swan Creek School,Mathematics 6,8.3,7.7,5,-0.6,
Harford,Swan Creek School,Mathematics 8,9.1,8.9,5,-0.2,
Garrett,Swan Meadow School,English Language Arts 3,*,*,*,,
Garrett,Swan Meadow School,English Language Arts 4,*,*,*,,
Garrett,Swan Meadow School,English Language Arts 5,*,*,*,,
Garrett,Swan Meadow School,English Language Arts 6,*,*,*,,
Garrett,Swan Meadow School,English Language Arts 7,*,*,*,,
Garrett,Swan Meadow School,English Language Arts 8,*,*,*,,
Garrett,Swan Meadow School,Mathematics 3,*,*,*,,
Garrett,Swan Meadow School,Mathematics 4,*,*,*,,
Garrett,Swan Meadow School,Mathematics 5,*,*,*,,
Garrett,Swan Meadow School,Mathematics 6,*,*,*,,
Garrett,Swan Meadow School,Mathematics 7,*,*,*,,
Garrett,Swan Meadow School,Mathematics 8,*,*,*,,
Howard,Swansfield Elementary,Mathematics 5,27.3,30.6,31.6,3.3,1
Howard,Swansfield Elementary,Mathematics 4,21,35.4,34.9,14.4,-0.5
Howard,Swansfield Elementary,English Language Arts 4,38.1,52.1,45.8,14,-6.3
Howard,Swansfield Elementary,English Language Arts 3,34.1,38.3,48.4,4.2,10.1
Howard,Swansfield Elementary,English Language Arts 5,29.1,41.1,50,12,8.9
Howard,Swansfield Elementary,Mathematics 3,34.1,44,50.5,9.9,6.5
Carroll,Sykesville Middle,Mathematics 8,5.8,42.7,8.7,36.9,-34
Carroll,Sykesville Middle,Mathematics 7,31.6,35.3,35.4,3.7,0.1
Carroll,Sykesville Middle,Mathematics 6,41.3,27.8,47.3,-13.5,19.5
Carroll,Sykesville Middle,Algebra 1,56.9,56.1,59.9,-0.8,3.8
Carroll,Sykesville Middle,English Language Arts 8,54.6,75,69.2,20.4,-5.8
Carroll,Sykesville Middle,English Language Arts 7,60.3,73.6,74.6,13.3,1
Carroll,Sykesville Middle,English Language Arts 6,69.5,67.7,80.6,-1.8,12.9
Carroll,Sykesville Middle,Geometry,*,*,*,,
Carroll,Sykesville Middle,Algebra 2,,,*,,
Charles,T. C. Martin Elementary School,Mathematics 4,20.2,29.2,21.4,9,-7.8
Charles,T. C. Martin Elementary School,Mathematics 5,19.5,23.5,28,4,4.5
Charles,T. C. Martin Elementary School,Mathematics 3,35.9,39.3,38,3.4,-1.3
Charles,T. C. Martin Elementary School,English Language Arts 5,32.5,26.7,41.5,-5.8,14.8
Charles,T. C. Martin Elementary School,English Language Arts 3,46.6,58.9,48.5,12.3,-10.4
Charles,T. C. Martin Elementary School,English Language Arts 4,41.6,49.1,53.1,7.5,4
Montgomery,Takoma Park Middle,Mathematics 8,,7.8,8.2,,0.4
Montgomery,Takoma Park Middle,Mathematics 7,,10.8,20.2,,9.4
Montgomery,Takoma Park Middle,Mathematics 6,,49.3,55.6,,6.3
Montgomery,Takoma Park Middle,Algebra 1,,70,67.2,,-2.8
Montgomery,Takoma Park Middle,English Language Arts 6,,72.8,69.2,,-3.6
Montgomery,Takoma Park Middle,English Language Arts 7,,73.3,69.3,,-4
Montgomery,Takoma Park Middle,English Language Arts 8,,69.9,72.8,,2.9
Montgomery,Takoma Park Middle,Geometry,,78.4,74.5,,-3.9
Montgomery,Takoma Park Middle,Algebra 2,,95,,,
Montgomery,Takoma Park Middle School,Mathematics 8,7.1,,,,
Montgomery,Takoma Park Middle School,Mathematics 7,9,,,,
Montgomery,Takoma Park Middle School,Mathematics 6,48.7,,,,
Montgomery,Takoma Park Middle School,English Language Arts 8,62.1,,,,
Montgomery,Takoma Park Middle School,English Language Arts 7,63.3,,,,
Montgomery,Takoma Park Middle School,English Language Arts 6,66,,,,
Montgomery,Takoma Park Middle School,Algebra 1,67.8,,,,
Montgomery,Takoma Park Middle School,Geometry,68.4,,,,
Montgomery,Takoma Park Middle School,Algebra 2,*,,,,
Howard,Talbott Springs Elementary,Mathematics 4,27.5,37.7,21.4,10.2,-16.3
Howard,Talbott Springs Elementary,English Language Arts 4,43.4,48.1,34.8,4.7,-13.3
Howard,Talbott Springs Elementary,Mathematics 5,14.9,30.5,35.9,15.6,5.4
Howard,Talbott Springs Elementary,English Language Arts 5,27.4,35.8,44.7,8.4,8.9
Howard,Talbott Springs Elementary,Mathematics 3,37,35.5,50,-1.5,14.5
Howard,Talbott Springs Elementary,English Language Arts 3,40,50.8,58.8,10.8,8
Prince George's,Tall Oaks High,English Language Arts 10,8.8,,,,
Prince George's,Tall Oaks High,Algebra 1,5,,,,
Carroll,Taneytown Elementary,Mathematics 5,15.2,20,17.3,4.8,-2.7
Carroll,Taneytown Elementary,Mathematics 4,38.1,28.8,33.8,-9.3,5
Carroll,Taneytown Elementary,English Language Arts 5,51.5,48.8,42,-2.7,-6.8
Carroll,Taneytown Elementary,Mathematics 3,42.3,31.6,50.8,-10.7,19.2
Carroll,Taneytown Elementary,English Language Arts 3,45.1,47.4,52.5,2.3,5.1
Carroll,Taneytown Elementary,English Language Arts 4,46,50.6,55.6,4.6,5
Prince George's,Tayac Elementary,Mathematics 5,11.8,5.5,5.4,-6.3,-0.1
Prince George's,Tayac Elementary,English Language Arts 4,38.5,16.3,16.3,-22.2,0
Prince George's,Tayac Elementary,English Language Arts 5,32,26.9,16.7,-5.1,-10.2
Prince George's,Tayac Elementary,English Language Arts 3,16.3,16.3,24.1,0,7.8
Prince George's,Tayac Elementary,Mathematics 3,13.7,11.1,25.4,-2.6,14.3
Prince George's,Tayac Elementary,Mathematics 4,9.4,5,5,,
Prince George's,Templeton Elementary,Mathematics 3,7.8,13,9.7,5.2,-3.3
Prince George's,Templeton Elementary,English Language Arts 5,21.7,30.1,12.6,8.4,-17.5
Prince George's,Templeton Elementary,Mathematics 4,13.7,14.8,13.2,1.1,-1.6
Prince George's,Templeton Elementary,English Language Arts 3,16.9,22,18.7,5.1,-3.3
Prince George's,Templeton Elementary,English Language Arts 4,34.3,31,24.2,-3.3,-6.8
Prince George's,Templeton Elementary,Mathematics 5,5,9.5,5,,
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 8,35.7,9.1,5.9,-26.6,-3.2
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 7,25.9,16.7,10,-9.2,-6.7
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 3,5,5,16.2,,
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 3,7.9,7.9,19.4,0,11.5
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 6,12.9,10.5,21.1,-2.4,10.6
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 8,5,9.1,5,,
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 4,42.9,15.6,5,-27.3,
Baltimore City,Tench Tilghman Elementary/Middle,English Language Arts 5,18.8,31,5,12.2,
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 4,5,5,5,,
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 5,5,5,5,,
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 6,5,5,5,,
Baltimore City,Tench Tilghman Elementary/Middle,Mathematics 7,5,5,5,,
Baltimore City,The Belair-Edison School,Mathematics 5,5,5,6.3,,
Baltimore City,The Belair-Edison School,Mathematics 4,7,5,7.1,,
Baltimore City,The Belair-Edison School,Mathematics 3,10.7,16.7,11.7,6,-5
Baltimore City,The Belair-Edison School,English Language Arts 5,15.9,22.1,15.6,6.2,-6.5
Baltimore City,The Belair-Edison School,English Language Arts 4,23.5,20.2,18.4,-3.3,-1.8
Baltimore City,The Belair-Edison School,English Language Arts 3,17.1,21.3,21.1,4.2,-0.2
Baltimore City,The Belair-Edison School,English Language Arts 6,22.4,21,22,-1.4,1
Baltimore City,The Belair-Edison School,English Language Arts 7,16,25.5,25.3,9.5,-0.2
Baltimore City,The Belair-Edison School,English Language Arts 8,22.5,20.3,27.1,-2.2,6.8
Baltimore City,The Belair-Edison School,Mathematics 6,5,5,5,,
Baltimore City,The Belair-Edison School,Mathematics 7,5,5,5,,
Baltimore City,The Belair-Edison School,Mathematics 8,5,5,5,,
Baltimore City,The Belair-Edison School,Algebra 1,,5,,,
Baltimore City,The Crossroads School,Algebra 1,23.5,20,7.1,-3.5,-12.9
Baltimore City,The Crossroads School,Mathematics 7,12.7,8.2,9.1,-4.5,0.9
Baltimore City,The Crossroads School,Mathematics 6,11.8,11.5,14.8,-0.3,3.3
Baltimore City,The Crossroads School,English Language Arts 8,20,42.1,31.4,22.1,-10.7
Baltimore City,The Crossroads School,English Language Arts 6,27.5,42.3,33.3,14.8,-9
Baltimore City,The Crossroads School,English Language Arts 7,41.8,38.8,52.7,-3,13.9
Baltimore City,The Crossroads School,Mathematics 8,5,5,5,,
Baltimore City,The Green School of Baltimore,Mathematics 4,32.1,37,34.6,4.9,-2.4
Baltimore City,The Green School of Baltimore,Mathematics 5,30.8,25,37,-5.8,12
Baltimore City,The Green School of Baltimore,English Language Arts 5,34.6,57.1,37,22.5,-20.1
Baltimore City,The Green School of Baltimore,Mathematics 3,37.5,37,50,-0.5,13
Baltimore City,The Green School of Baltimore,English Language Arts 3,50,48.1,57.1,-1.9,9
Baltimore City,The Green School of Baltimore,English Language Arts 4,64.3,51.9,65.4,-12.4,13.5
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 3,5,5,5.1,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 3,9.2,5,6.3,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 8,5.3,8.7,15.9,3.4,7.2
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 7,5,11,17.5,,6.5
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 6,6.2,9.6,20.5,3.4,10.9
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 4,8.2,7,5,-1.2,
Baltimore City,The Historic Cherry Hill Elementary/Middle,English Language Arts 5,5,5,5,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 4,5,5,5,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 5,5,5,5,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 6,5,5,5,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 7,5,5,5,,
Baltimore City,The Historic Cherry Hill Elementary/Middle,Mathematics 8,5,5,5,,
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,Mathematics 3,5,5.6,6.8,,1.2
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,Mathematics 4,5,5,7.7,,
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,English Language Arts 5,8.3,14.8,9.4,6.5,-5.4
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,English Language Arts 4,5,15,33.3,,18.3
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,English Language Arts 3,8,14.3,5,6.3,
Baltimore City,The Historic Samuel Coleridge-Taylor Elementary,Mathematics 5,5,5,5,,
Baltimore City,The Mount Washington School,Mathematics 7,15.9,6.8,5.3,-9.1,-1.5
Baltimore City,The Mount Washington School,Algebra 1,5,14.3,14.7,,0.4
Baltimore City,The Mount Washington School,Mathematics 4,37.3,39.3,30.4,2,-8.9
Baltimore City,The Mount Washington School,Mathematics 5,29,27.3,37.5,-1.7,10.2
Baltimore City,The Mount Washington School,Mathematics 3,52.8,46.3,37.5,-6.5,-8.8
Baltimore City,The Mount Washington School,English Language Arts 4,55.9,61,42.9,5.1,-18.1
Baltimore City,The Mount Washington School,English Language Arts 6,38.4,34.5,48.4,-3.9,13.9
Baltimore City,The Mount Washington School,English Language Arts 5,49.3,51.5,50,2.2,-1.5
Baltimore City,The Mount Washington School,English Language Arts 3,59.6,64.8,50,5.2,-14.8
Baltimore City,The Mount Washington School,English Language Arts 8,24.1,38.1,50.6,14,12.5
Baltimore City,The Mount Washington School,English Language Arts 7,46,38.4,52.6,-7.6,14.2
Baltimore City,The Mount Washington School,Mathematics 6,8.3,5.1,5,-3.2,
Baltimore City,The Mount Washington School,Mathematics 8,5,5,5,,
Baltimore City,The Reach! Partnership School,English Language Arts 10,5.9,14,22.1,8.1,8.1
Baltimore City,The Reach! Partnership School,Algebra 1,5,5,5,,
SEED,The Seed School of Maryland,Algebra 2,5,5,6,,
SEED,The Seed School of Maryland,Mathematics 7,5,8.3,7,,-1.3
SEED,The Seed School of Maryland,English Language Arts 7,5,22.2,18.6,,-3.6
SEED,The Seed School of Maryland,English Language Arts 10,31.7,23.7,19.2,-8,-4.5
SEED,The Seed School of Maryland,English Language Arts 6,18.2,12.5,22.7,-5.7,10.2
SEED,The Seed School of Maryland,English Language Arts 8,9.3,5,25,,
SEED,The Seed School of Maryland,Mathematics 8,5,5.7,5,,
SEED,The Seed School of Maryland,Mathematics 6,5,5,5,,
SEED,The Seed School of Maryland,Algebra 1,5,5,5,,
SEED,The Seed School of Maryland,Geometry,5,5,5,,
Charles,Theodore G. Davis Middle School,Mathematics 7,18.9,15.3,12.4,-3.6,-2.9
Charles,Theodore G. Davis Middle School,Mathematics 6,13.6,18.3,17,4.7,-1.3
Charles,Theodore G. Davis Middle School,Algebra 1,61,79,38.7,18,-40.3
Charles,Theodore G. Davis Middle School,English Language Arts 7,51.3,43.6,43.6,-7.7,0
Charles,Theodore G. Davis Middle School,English Language Arts 8,57.1,54.3,51.3,-2.8,-3
Charles,Theodore G. Davis Middle School,English Language Arts 6,45.6,47.3,55.3,1.7,8
Charles,Theodore G. Davis Middle School,Mathematics 8,18.1,11,5,-7.1,
Montgomery,Thomas Edison High School of Technology,English Language Arts 10,,*,,,
Montgomery,Thomas Edison High School of Technology,Algebra 1,,*,,,
Prince George's,Thomas G. Pullen,Mathematics 4,,,13.7,,
Prince George's,Thomas G. Pullen,Mathematics 5,,,19.7,,
Prince George's,Thomas G. Pullen,Mathematics 8,,,20.8,,
Prince George's,Thomas G. Pullen,Mathematics 3,,,22.1,,
Prince George's,Thomas G. Pullen,Mathematics 7,,,27.8,,
Prince George's,Thomas G. Pullen,Mathematics 6,,,28.6,,
Prince George's,Thomas G. Pullen,English Language Arts 4,,,52.1,,
Prince George's,Thomas G. Pullen,English Language Arts 5,,,54.9,,
Prince George's,Thomas G. Pullen,English Language Arts 3,,,57.4,,
Prince George's,Thomas G. Pullen,English Language Arts 8,,,60.4,,
Prince George's,Thomas G. Pullen,Algebra 1,,,62.1,,
Prince George's,Thomas G. Pullen,English Language Arts 6,,,67.3,,
Prince George's,Thomas G. Pullen,English Language Arts 7,,,73.5,,
Prince George's,Thomas G. Pullen,Geometry,,,*,,
Prince George's,Thomas G. Pullen School,Mathematics 8,8.1,12.3,,,
Prince George's,Thomas G. Pullen School,Mathematics 4,18.6,13.7,,,
Prince George's,Thomas G. Pullen School,Mathematics 5,13.2,19.1,,,
Prince George's,Thomas G. Pullen School,Mathematics 6,15.3,20.4,,,
Prince George's,Thomas G. Pullen School,Mathematics 7,24,21.6,,,
Prince George's,Thomas G. Pullen School,Mathematics 3,21.4,21.7,,,
Prince George's,Thomas G. Pullen School,English Language Arts 4,65.7,53.4,,,
Prince George's,Thomas G. Pullen School,English Language Arts 5,50,58.6,,,
Prince George's,Thomas G. Pullen School,English Language Arts 3,60,60.9,,,
Prince George's,Thomas G. Pullen School,English Language Arts 8,66,63.6,,,
Prince George's,Thomas G. Pullen School,English Language Arts 7,60.8,68.3,,,
Prince George's,Thomas G. Pullen School,English Language Arts 6,55.1,69.4,,,
Prince George's,Thomas G. Pullen School,Algebra 1,50,80.8,,,
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 6,5,5,6.7,,
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 4,5,5,10,,
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 8,5,7.9,13.2,,5.3
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 3,5,9.7,13.3,,3.6
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 3,5,15.6,13.8,,-1.8
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 5,7.1,10.7,22.7,3.6,12
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 7,7.7,37.8,25.9,30.1,-11.9
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 6,13.5,15.6,26.7,2.1,11.1
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 8,16,10.3,34.1,-5.7,23.8
Baltimore City,Thomas Jefferson Elementary/Middle,Algebra 1,,,*,,
Baltimore City,Thomas Jefferson Elementary/Middle,English Language Arts 4,11.5,5.3,5,-6.2,
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 7,5,10.5,5,,
Baltimore City,Thomas Jefferson Elementary/Middle,Mathematics 5,5,5,5,,
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 8,16.7,5,10.5,,
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 6,31.8,34,36,2.2,2
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 7,28.3,44.2,37.7,15.9,-6.5
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 4,54.5,64.9,40.7,10.4,-24.2
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 4,67.4,73.7,53.3,6.3,-20.4
Baltimore City,Thomas Johnson Elementary/Middle,Algebra 1,45.2,40.7,58.3,-4.5,17.6
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 5,54.3,51.1,61.2,-3.2,10.1
Baltimore City,Thomas Johnson Elementary/Middle,Mathematics 3,66.7,63.6,62.3,-3.1,-1.3
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 8,67.2,63.6,62.8,-3.6,-0.8
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 6,56.8,56.6,66.7,-0.2,10.1
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 3,62.7,72.7,67.9,10,-4.8
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 5,60.9,57.8,70,-3.1,12.2
Baltimore City,Thomas Johnson Elementary/Middle,English Language Arts 7,51.9,65.1,74.1,13.2,9
Prince George's,Thomas Johnson Middle,Mathematics 7,5.7,6,10.4,0.3,4.4
Prince George's,Thomas Johnson Middle,Algebra 1,33.3,13.2,12.5,-20.1,-0.7
Prince George's,Thomas Johnson Middle,English Language Arts 6,25.3,41.7,22.4,16.4,-19.3
Prince George's,Thomas Johnson Middle,English Language Arts 8,29.5,29.8,23.1,0.3,-6.7
Prince George's,Thomas Johnson Middle,English Language Arts 7,34,28.9,39.4,-5.1,10.5
Prince George's,Thomas Johnson Middle,Mathematics 6,5,5.4,5,,
Prince George's,Thomas Johnson Middle,Mathematics 8,6,5,5,,
Prince George's,Thomas S. Stone Elementary,English Language Arts 3,18.6,5,12.2,,
Prince George's,Thomas S. Stone Elementary,Mathematics 5,5,9.2,13.2,,4
Prince George's,Thomas S. Stone Elementary,English Language Arts 4,13,26.4,15.4,13.4,-11
Prince George's,Thomas S. Stone Elementary,Mathematics 3,6.8,7.4,21.3,0.6,13.9
Prince George's,Thomas S. Stone Elementary,English Language Arts 5,11.5,13.8,24.2,2.3,10.4
Prince George's,Thomas S. Stone Elementary,Mathematics 4,8.7,9.4,5,0.7,
Montgomery,Thomas S. Wootton High,Algebra 1,12.5,16.2,9.6,3.7,-6.6
Montgomery,Thomas S. Wootton High,English Language Arts 10,80.4,86.2,85.1,5.8,-1.1
Charles,Thomas Stone High School,English Language Arts 10,28.2,32.1,30.8,3.9,-1.3
Charles,Thomas Stone High School,Algebra 1,5,5,5,,
Charles,Thomas Stone High School,Algebra 2,5,5,5,,
Howard,Thomas Viaduct,Mathematics 7,6.8,8.5,,,
Howard,Thomas Viaduct,Mathematics 6,20.1,17.4,,,
Howard,Thomas Viaduct,Geometry,39.2,38.9,,,
Howard,Thomas Viaduct,English Language Arts 7,37.5,41,,,
Howard,Thomas Viaduct,English Language Arts 8,28.2,43.4,,,
Howard,Thomas Viaduct,English Language Arts 6,40.5,47.3,,,
Howard,Thomas Viaduct,Algebra 1,36.8,49.6,,,
Howard,Thomas Viaduct,Algebra 2,*,*,,,
Howard,Thomas Viaduct,Mathematics 8,5,5,,,
